manager;client_id;client;brand;general_plan;week_1;week_2;week_3;week_4;week_5
Ремус Люпин;00-00001081;Клиент 7;Проявитель врагов;;;;;;
Ремус Люпин;00-00001081;Клиент 7;Кубок Огня;20000.00;;2418.00;8000.00;10000.00;
Ремус Люпин;00-00001081;Клиент 7;Карта Мародеров;2000.00;;239.00;2000.00;;
Ремус Люпин;00-00001081;Клиент 7;Прыгающий котел;3000.00;;415.00;1000.00;1000.00;
Ремус Люпин;00-00001081;Клиент 7;Мантия-невидимка;24000.00;7084.00;6082.48;10000.00;;
Ремус Люпин;00-00001081;Клиент 7;Дары смерти;1000.00;;;1000.00;;
Ремус Люпин;00-00000900;Клиент 29;Проявитель врагов;;;;;;
Ремус Люпин;00-00000900;Клиент 29;Дары смерти;;;;;;
Ремус Люпин;00-00000900;Клиент 29;Кубок Огня;;;;;;
Ремус Люпин;00-00000900;Клиент 29;Карта Мародеров;;;;;;
Ремус Люпин;00-00000900;Клиент 29;Прыгающий котел;;;;;;
Ремус Люпин;00-00000900;Клиент 29;Мантия-невидимка;;;;;;
Якоб Ковальски;00-00001288;Клиент 640;Кубок Огня;;;;;;
Якоб Ковальски;00-00000981;Клиент 10;Кубок Огня;1000000.00;;;;1000000.00;
Якоб Ковальски;00-00000981;Клиент 10;Карта Мародеров;;;;;;
Якоб Ковальски;00-00000981;Клиент 10;Прыгающий котел;;;;;;
Якоб Ковальски;00-00000981;Клиент 10;Мантия-невидимка;300000.00;;;;300000.00;
Якоб Ковальски;00-00001969;Клиент 250;Кубок Огня;;;;;;
Якоб Ковальски;00-00000578;Клиент 437;Кубок Огня;;;;;;
Якоб Ковальски;00-00000578;Клиент 437;Карта Мародеров;;;;;;
Якоб Ковальски;00-00000578;Клиент 437;Проявитель врагов;;;;;;
Якоб Ковальски;00-00001928;Клиент 228;Мантия-невидимка;;;;;;
Якоб Ковальски;00-00001787;Клиент 178;Мантия-невидимка;150000.00;;;150000.00;;
Якоб Ковальски;00-00001799;Клиент 181;Мантия-невидимка;300000.00;;;300000.00;;
Якоб Ковальски;00-00001799;Клиент 181;Прыгающий котел;;;;;;
Якоб Ковальски;00-00001799;Клиент 181;Дары смерти;;;;;;
Якоб Ковальски;00-00001623;Клиент 126;Кубок Огня;;;;;;
Якоб Ковальски;00-00001848;Клиент 768;Мантия-невидимка;;;;;;
Якоб Ковальски;00-00001263;Клиент 635;Кубок Огня;;;;;;
Якоб Ковальски;00-00000498;Клиент 24;Кубок Огня;300000.00;;32111.50;;150000.00;100000.00
Якоб Ковальски;00-00000498;Клиент 24;Карта Мародеров;;;;;;
Якоб Ковальски;00-00000498;Клиент 24;Проявитель врагов;;;;;;
Якоб Ковальски;00-00000498;Клиент 24;Дары смерти;;;5569.90;;;
Якоб Ковальски;00-00000498;Клиент 24;Прыгающий котел;;;;;;
Якоб Ковальски;00-00000498;Клиент 24;Мантия-невидимка;150000.00;;65559.50;;70000.00;14440.50
Якоб Ковальски;00-00001734;Клиент 753;Кубок Огня;;;;;;
Якоб Ковальски;00-00001734;Клиент 753;Прыгающий котел;;;;;;
Якоб Ковальски;00-00001734;Клиент 753;Дары смерти;;;;;;
Якоб Ковальски;00-00001734;Клиент 753;Мантия-невидимка;;;;;;
Якоб Ковальски;00-00001934;Клиент 231;Мантия-невидимка;70000.00;;70000.00;;;
Якоб Ковальски;УТ0000987  ;Клиент 16;Кубок Огня;300000.00;;;;300000.00;
Якоб Ковальски;00-00001264;Клиент 636;Кубок Огня;;;;;;
Якоб Ковальски;00-00002005;Клиент 269;Кубок Огня;;;;;;
Якоб Ковальски;00-00001273;Клиент 642;Кубок Огня;;;;;;
Якоб Ковальски;00-00002014;Клиент 274;Кубок Огня;;;;;;
Якоб Ковальски;00-00001784;Клиент 176;Кубок Огня;30000.00;;;;;30000.00
Якоб Ковальски;00-00001428;Клиент 96;Кубок Огня;;;;;;
Якоб Ковальски;00-00001862;Клиент 197;Мантия-невидимка;100000.00;;;;100000.00;
